"","word","score","para_num","sent_num","word_num","score_smooth","co"
"1","stave",0,1,1,1,NA,NA
"2","one",0,1,1,2,NA,NA
"3","illustration",0,2,2,3,NA,NA
"4","marley's",0,3,3,4,NA,NA
"5","ghost",-1,3,3,5,NA,NA
"6","marley",0,4,4,6,NA,NA
"7","was",0,4,4,7,NA,NA
"8","dead",-3,4,4,8,NA,NA
"9","to",0,4,4,9,NA,NA
"10","begin",0,4,4,10,NA,NA
"11","with",0,4,4,11,NA,NA
"12","there",0,4,4,12,NA,NA
"13","is",0,4,4,13,NA,NA
"14","no",-1,4,4,14,NA,NA
"15","doubt",-1,4,4,15,NA,NA
"16","whatever",0,4,4,16,NA,NA
"17","about",0,4,4,17,NA,NA
"18","that",0,4,4,18,NA,NA
"19","the",0,4,4,19,NA,NA
"20","register",0,4,4,20,NA,NA
"21","of",0,4,4,21,NA,NA
"22","his",0,4,4,22,NA,NA
"23","burial",0,4,4,23,NA,NA
"24","was",0,4,4,24,NA,NA
"25","signed",0,4,4,25,NA,NA
"26","by",0,4,4,26,NA,NA
"27","the",0,4,4,27,NA,NA
"28","clergyman",0,4,4,28,NA,NA
"29","the",0,4,4,29,NA,NA
"30","clerk",0,4,4,30,NA,NA
"31","the",0,4,4,31,NA,NA
"32","undertaker",0,4,4,32,NA,NA
"33","and",0,4,4,33,NA,NA
"34","the",0,4,4,34,NA,NA
"35","chief",0,4,4,35,NA,NA
"36","mourner",0,4,4,36,NA,NA
"37","scrooge",0,4,4,37,NA,NA
"38","signed",0,4,4,38,NA,NA
"39","it",0,4,4,39,NA,NA
"40","and",0,4,4,40,NA,NA
"41","scrooge's",0,4,4,41,NA,NA
"42","name",0,4,4,42,NA,NA
"43","was",0,4,4,43,NA,NA
"44","good",3,4,4,44,NA,NA
"45","upon",0,4,4,45,NA,NA
"46","change",0,4,4,46,NA,NA
"47","for",0,4,4,47,NA,NA
"48","anything",0,4,4,48,NA,NA
"49","he",0,4,4,49,NA,NA
"50","chose",0,4,4,50,NA,NA
"51","to",0,4,4,51,NA,NA
"52","put",0,4,4,52,NA,NA
"53","his",0,4,4,53,NA,NA
"54","hand",0,4,4,54,NA,NA
"55","to",0,4,4,55,NA,NA
"56","old",0,4,4,56,NA,NA
"57","marley",0,4,4,57,NA,NA
"58","was",0,4,4,58,NA,NA
"59","as",0,4,4,59,NA,NA
"60","dead",-3,4,4,60,NA,NA
"61","as",0,4,4,61,NA,NA
"62","a",0,4,4,62,NA,NA
"63","door",0,4,4,63,NA,NA
"64","nail",0,4,4,64,NA,NA
"65","mind",0,5,5,65,NA,NA
"66","i",0,5,6,66,NA,NA
"67","don't",0,5,6,67,NA,NA
"68","mean",0,5,6,68,NA,NA
"69","to",0,5,6,69,NA,NA
"70","say",0,5,6,70,NA,NA
"71","that",0,5,6,71,NA,NA
"72","i",0,5,6,72,NA,NA
"73","know",0,5,6,73,NA,NA
"74","of",0,5,6,74,NA,NA
"75","my",0,5,6,75,NA,NA
"76","own",0,5,6,76,NA,NA
"77","knowledge",0,5,6,77,NA,NA
"78","what",0,5,6,78,NA,NA
"79","there",0,5,6,79,NA,NA
"80","is",0,5,6,80,NA,NA
"81","particularly",0,5,6,81,NA,NA
"82","dead",-3,5,6,82,NA,NA
"83","about",0,5,6,83,NA,NA
"84","a",0,5,6,84,NA,NA
"85","door",0,5,6,85,NA,NA
"86","nail",0,5,6,86,NA,NA
"87","i",0,5,6,87,NA,NA
"88","might",0,5,6,88,NA,NA
"89","have",0,5,6,89,NA,NA
"90","been",0,5,6,90,NA,NA
"91","inclined",0,5,6,91,NA,NA
"92","myself",0,5,6,92,NA,NA
"93","to",0,5,6,93,NA,NA
"94","regard",0,5,6,94,NA,NA
"95","a",0,5,6,95,NA,NA
"96","coffin",0,5,6,96,NA,NA
"97","nail",0,5,6,97,NA,NA
"98","as",0,5,6,98,NA,NA
"99","the",0,5,6,99,NA,NA
"100","deadest",0,5,6,100,NA,NA
"101","piece",0,5,6,101,NA,NA
"102","of",0,5,6,102,NA,NA
"103","ironmongery",0,5,6,103,NA,NA
"104","in",0,5,6,104,NA,NA
"105","the",0,5,6,105,NA,NA
"106","trade",0,5,6,106,NA,NA
"107","but",0,5,6,107,NA,NA
"108","the",0,5,6,108,NA,NA
"109","wisdom",0,5,6,109,NA,NA
"110","of",0,5,6,110,NA,NA
"111","our",0,5,6,111,NA,NA
"112","ancestors",0,5,6,112,NA,NA
"113","is",0,5,6,113,NA,NA
"114","in",0,5,6,114,NA,NA
"115","the",0,5,6,115,NA,NA
"116","simile",0,5,6,116,NA,NA
"117","and",0,5,6,117,NA,NA
"118","my",0,5,6,118,NA,NA
"119","unhallowed",0,5,6,119,NA,NA
"120","hands",0,5,6,120,NA,NA
"121","shall",0,5,6,121,NA,NA
"122","not",0,5,6,122,NA,NA
"123","disturb",-2,5,6,123,NA,NA
"124","it",0,5,6,124,NA,NA
"125","or",0,5,6,125,NA,NA
"126","the",0,5,6,126,NA,NA
"127","country's",0,5,6,127,NA,NA
"128","done",0,5,6,128,NA,NA
"129","for",0,5,6,129,NA,NA
"130","you",0,5,6,130,NA,NA
"131","will",0,5,6,131,NA,NA
"132","therefore",0,5,6,132,NA,NA
"133","permit",0,5,6,133,NA,NA
"134","me",0,5,6,134,NA,NA
"135","to",0,5,6,135,NA,NA
"136","repeat",0,5,6,136,NA,NA
"137","emphatically",0,5,6,137,NA,NA
"138","that",0,5,6,138,NA,NA
"139","marley",0,5,6,139,NA,NA
"140","was",0,5,6,140,NA,NA
"141","as",0,5,6,141,NA,NA
"142","dead",-3,5,6,142,NA,NA
"143","as",0,5,6,143,NA,NA
"144","a",0,5,6,144,NA,NA
"145","door",0,5,6,145,NA,NA
"146","nail",0,5,6,146,NA,NA
"147","scrooge",0,6,7,147,NA,NA
"148","knew",0,6,7,148,NA,NA
"149","he",0,6,7,149,NA,NA
"150","was",0,6,7,150,NA,NA
"151","dead",-3,6,7,151,NA,NA
"152","of",0,6,8,152,NA,NA
"153","course",0,6,8,153,NA,NA
"154","he",0,6,8,154,NA,NA
"155","did",0,6,8,155,NA,NA
"156","how",0,6,8,156,NA,NA
"157","could",0,6,8,157,NA,NA
"158","it",0,6,8,158,NA,NA
"159","be",0,6,8,159,NA,NA
"160","otherwise",0,6,8,160,NA,NA
"161","scrooge",0,6,9,161,NA,NA
"162","and",0,6,9,162,NA,NA
"163","he",0,6,9,163,NA,NA
"164","were",0,6,9,164,NA,NA
"165","partners",0,6,9,165,NA,NA
"166","for",0,6,9,166,NA,NA
"167","i",0,6,9,167,NA,NA
"168","don't",0,6,9,168,NA,NA
"169","know",0,6,9,169,NA,NA
"170","how",0,6,9,170,NA,NA
"171","many",0,6,9,171,NA,NA
"172","years",0,6,9,172,NA,NA
"173","scrooge",0,6,9,173,NA,NA
"174","was",0,6,9,174,NA,NA
"175","his",0,6,9,175,NA,NA
"176","sole",0,6,9,176,NA,NA
"177","executor",0,6,9,177,NA,NA
"178","his",0,6,9,178,NA,NA
"179","sole",0,6,9,179,NA,NA
"180","administrator",0,6,9,180,NA,NA
"181","his",0,6,9,181,NA,NA
"182","sole",0,6,9,182,NA,NA
"183","assign",0,6,9,183,NA,NA
"184","his",0,6,9,184,NA,NA
"185","sole",0,6,9,185,NA,NA
"186","residuary",0,6,9,186,NA,NA
"187","legatee",0,6,9,187,NA,NA
"188","his",0,6,9,188,NA,NA
"189","sole",0,6,9,189,NA,NA
"190","friend",0,6,9,190,NA,NA
"191","and",0,6,9,191,NA,NA
"192","sole",0,6,9,192,NA,NA
"193","mourner",0,6,9,193,NA,NA
"194","and",0,6,9,194,NA,NA
"195","even",0,6,9,195,NA,NA
"196","scrooge",0,6,9,196,NA,NA
"197","was",0,6,9,197,NA,NA
"198","not",0,6,9,198,NA,NA
"199","so",0,6,9,199,NA,NA
"200","dreadfully",0,6,9,200,NA,NA
"201","cut",-1,6,9,201,NA,NA
"202","up",0,6,9,202,NA,NA
"203","by",0,6,9,203,NA,NA
"204","the",0,6,9,204,NA,NA
"205","sad",-2,6,9,205,NA,NA
"206","event",0,6,9,206,NA,NA
"207","but",0,6,9,207,NA,NA
"208","that",0,6,9,208,NA,NA
"209","he",0,6,9,209,NA,NA
"210","was",0,6,9,210,NA,NA
"211","an",0,6,9,211,NA,NA
"212","excellent",3,6,9,212,NA,NA
"213","man",0,6,9,213,NA,NA
"214","of",0,6,9,214,NA,NA
"215","business",0,6,9,215,NA,NA
"216","on",0,6,9,216,NA,NA
"217","the",0,6,9,217,NA,NA
"218","very",0,6,9,218,NA,NA
"219","day",0,6,9,219,NA,NA
"220","of",0,6,9,220,NA,NA
"221","the",0,6,9,221,NA,NA
"222","funeral",-1,6,9,222,NA,NA
"223","and",0,6,9,223,NA,NA
"224","solemnised",0,6,9,224,NA,NA
"225","it",0,6,9,225,NA,NA
"226","with",0,6,9,226,NA,NA
"227","an",0,6,9,227,NA,NA
"228","undoubted",0,6,9,228,NA,NA
"229","bargain",2,6,9,229,NA,NA
"230","the",0,7,10,230,NA,NA
"231","mention",0,7,10,231,NA,NA
"232","of",0,7,10,232,NA,NA
"233","marley's",0,7,10,233,NA,NA
"234","funeral",-1,7,10,234,NA,NA
"235","brings",0,7,10,235,NA,NA
"236","me",0,7,10,236,NA,NA
"237","back",0,7,10,237,NA,NA
"238","to",0,7,10,238,NA,NA
"239","the",0,7,10,239,NA,NA
"240","point",0,7,10,240,NA,NA
"241","i",0,7,10,241,NA,NA
"242","started",0,7,10,242,NA,NA
"243","from",0,7,10,243,NA,NA
"244","there",0,7,10,244,NA,NA
"245","is",0,7,10,245,NA,NA
"246","no",-1,7,10,246,NA,NA
"247","doubt",-1,7,10,247,NA,NA
"248","that",0,7,10,248,NA,NA
"249","marley",0,7,10,249,NA,NA
"250","was",0,7,10,250,-0.8,"red"
"251","dead",-3,7,10,251,-0.8,"red"
"252","this",0,7,10,252,-0.8,"red"
"253","must",0,7,10,253,-0.8,"red"
"254","be",0,7,10,254,-0.8,"red"
"255","distinctly",0,7,10,255,-0.76,"red"
"256","understood",0,7,10,256,-0.76,"red"
"257","or",0,7,10,257,-0.76,"red"
"258","nothing",0,7,10,258,-0.64,"red"
"259","wonderful",4,7,10,259,-0.64,"red"
"260","can",0,7,10,260,-0.64,"red"
"261","come",0,7,10,261,-0.64,"red"
"262","of",0,7,10,262,-0.64,"red"
"263","the",0,7,10,263,-0.64,"red"
"264","story",0,7,10,264,-0.6,"red"
"265","i",0,7,10,265,-0.56,"red"
"266","am",0,7,10,266,-0.56,"red"
"267","going",0,7,10,267,-0.56,"red"
"268","to",0,7,10,268,-0.6,"red"
"269","relate",0,7,10,269,-0.52,"red"
"270","if",0,7,10,270,-0.52,"red"
"271","we",0,7,10,271,-0.48,"red"
"272","were",0,7,10,272,-0.52,"red"
"273","not",0,7,10,273,-0.52,"red"
"274","perfectly",3,7,10,274,-0.52,"red"
"275","convinced",1,7,10,275,-0.52,"red"
"276","that",0,7,10,276,-0.52,"red"
"277","hamlet's",0,7,10,277,-0.56,"red"
"278","father",0,7,10,278,-0.56,"red"
"279","died",-3,7,10,279,-0.56,"red"
"280","before",0,7,10,280,-0.56,"red"
"281","the",0,7,10,281,-0.56,"red"
"282","play",0,7,10,282,-0.56,"red"
"283","began",0,7,10,283,-0.56,"red"
"284","there",0,7,10,284,-0.56,"red"
"285","would",0,7,10,285,-0.6,"red"
"286","be",0,7,10,286,-0.64,"red"
"287","nothing",0,7,10,287,-0.64,"red"
"288","more",0,7,10,288,-0.64,"red"
"289","remarkable",2,7,10,289,-0.64,"red"
"290","in",0,7,10,290,-0.64,"red"
"291","his",0,7,10,291,-0.64,"red"
"292","taking",0,7,10,292,-0.64,"red"
"293","a",0,7,10,293,-0.64,"red"
"294","stroll",0,7,10,294,-0.8,"red"
"295","at",0,7,10,295,-0.8,"red"
"296","night",0,7,10,296,-0.8,"red"
"297","in",0,7,10,297,-0.8,"red"
"298","an",0,7,10,298,-0.8,"red"
"299","easterly",0,7,10,299,-0.8,"red"
"300","wind",0,7,10,300,-0.8,"red"
"301","upon",0,7,10,301,-0.8,"red"
"302","his",0,7,10,302,-0.8,"red"
